payment_id,distributor_id,invoice_id,invoice_date,invoice_amount_inr,due_date,payment_date,amount_paid_inr,payment_status
PAY-000717,DIST-063,INV-000717,2025-09-29,257488,2025-10-29,2025-11-18,257488,paid
PAY-000757,DIST-067,INV-000757,2024-08-01,333376,2024-08-22,2024-10-01,333376,paid
PAY-000523,DIST-046,INV-000523,2025-07-02,47886,2025-07-17,2025-07-16,47886,paid
PAY-001173,DIST-105,INV-001173,2025-02-17,32931,2025-03-04,,0,overdue
PAY-000678,DIST-060,INV-000678,2026-03-22,104443,2026-05-06,2026-06-03,104443,paid
PAY-000396,DIST-036,INV-000396,2025-08-06,14071,2025-09-20,2025-09-20,14071,paid
PAY-000069,DIST-006,INV-000069,2025-06-15,84342,2025-07-15,2025-07-12,84342,paid
PAY-001216,DIST-111,INV-001216,2024-09-02,145941,2024-10-17,2024-11-06,78960,partial
PAY-001183,DIST-106,INV-001183,2024-12-30,252310,2025-01-29,2025-02-09,126896,partial
PAY-000468,DIST-042,INV-000468,2024-11-20,216505,2024-12-20,2024-12-18,216505,paid
PAY-000262,DIST-024,INV-000262,2024-12-22,97032,2025-01-12,2025-01-12,97032,paid
PAY-000043,DIST-004,INV-000043,2025-07-05,149259,2025-08-04,2025-08-04,149259,paid
PAY-000624,DIST-055,INV-000624,2026-03-13,289122,2026-04-12,2026-05-15,289122,paid
PAY-000416,DIST-037,INV-000416,2025-06-02,227732,2025-07-17,2025-07-16,227732,paid
PAY-001045,DIST-094,INV-001045,2024-12-17,281489,2025-01-16,,0,overdue
PAY-000753,DIST-066,INV-000753,2025-07-21,83644,2025-08-20,2025-08-20,83644,paid
PAY-000406,DIST-037,INV-000406,2024-08-13,77418,2024-09-27,2024-09-25,77418,paid
PAY-000431,DIST-039,INV-000431,2025-02-10,218108,2025-03-03,2025-03-02,218108,paid
PAY-000020,DIST-002,INV-000020,2025-09-30,215500,2025-10-15,2025-10-13,215500,paid
PAY-000692,DIST-061,INV-000692,2026-02-25,40965,2026-03-27,2026-03-25,40965,paid
PAY-000414,DIST-037,INV-000414,2025-03-26,228194,2025-05-10,2025-05-08,228194,paid
PAY-000174,DIST-015,INV-000174,2025-10-28,28359,2025-12-12,2025-12-10,28359,paid
PAY-000928,DIST-083,INV-000928,2025-06-30,71916,2025-07-21,2025-08-05,50678,partial
PAY-000901,DIST-080,INV-000901,2025-12-23,185914,2026-01-13,2026-01-10,185914,paid
PAY-000422,DIST-038,INV-000422,2025-02-24,108198,2025-03-11,2025-03-11,108198,paid
PAY-000429,DIST-039,INV-000429,2024-11-28,105104,2024-12-19,2024-12-18,105104,paid
PAY-000276,DIST-025,INV-000276,2024-10-06,294743,2024-10-27,2024-10-25,294743,paid
PAY-000694,DIST-062,INV-000694,2024-11-02,12107,2024-12-02,2024-11-30,12107,paid
PAY-000492,DIST-044,INV-000492,2025-07-14,18152,2025-07-29,2025-07-26,18152,paid
PAY-000481,DIST-043,INV-000481,2025-11-20,74328,2026-01-04,2026-01-01,74328,paid
PAY-000469,DIST-042,INV-000469,2024-12-31,224474,2025-01-30,2025-01-28,224474,paid
PAY-000787,DIST-070,INV-000787,2025-01-15,95183,2025-03-01,2025-03-13,95183,paid
PAY-000398,DIST-036,INV-000398,2025-09-30,14082,2025-11-14,2025-11-12,14082,paid
PAY-000672,DIST-060,INV-000672,2025-08-31,235014,2025-10-15,2025-10-15,235014,paid
PAY-000732,DIST-065,INV-000732,2025-07-31,21240,2025-08-30,2025-09-28,21240,paid
PAY-000938,DIST-084,INV-000938,2025-01-31,59588,2025-03-17,2025-03-14,59588,paid
PAY-000453,DIST-040,INV-000453,2026-05-29,24763,2026-06-19,2026-06-19,24763,paid
PAY-000889,DIST-079,INV-000889,2025-06-06,122016,2025-06-21,2025-06-21,122016,paid
PAY-001145,DIST-102,INV-001145,2026-01-01,94826,2026-01-31,2026-02-14,52357,partial
PAY-000418,DIST-038,INV-000418,2024-11-05,131336,2024-11-20,2024-11-19,131336,paid
PAY-000566,DIST-050,INV-000566,2024-07-27,48720,2024-08-17,2024-08-16,48720,paid
PAY-000287,DIST-026,INV-000287,2025-05-24,102277,2025-06-08,2025-06-06,102277,paid
PAY-000568,DIST-050,INV-000568,2024-10-08,65877,2024-10-29,2024-10-28,65877,paid
PAY-000229,DIST-020,INV-000229,2025-04-18,147893,2025-05-03,2025-05-01,147893,paid
PAY-001221,DIST-111,INV-001221,2025-02-16,116721,2025-04-02,2025-04-14,71548,partial
PAY-001135,DIST-101,INV-001135,2025-09-16,202183,2025-10-16,2025-11-16,202183,paid
PAY-000945,DIST-085,INV-000945,2024-09-10,16123,2024-10-25,2024-11-15,16123,paid
PAY-000844,DIST-075,INV-000844,2025-05-03,22715,2025-06-02,2025-07-14,22715,paid
PAY-000167,DIST-015,INV-000167,2025-02-16,27519,2025-04-02,2025-03-30,27519,paid
PAY-000700,DIST-062,INV-000700,2025-04-21,30805,2025-05-21,2025-06-19,30805,paid
PAY-000579,DIST-051,INV-000579,2025-07-03,15389,2025-07-18,2025-07-16,15389,paid
PAY-000059,DIST-006,INV-000059,2024-07-15,67279,2024-08-14,2024-08-13,67279,paid
PAY-001105,DIST-099,INV-001105,2024-08-21,26821,2024-10-05,,0,overdue
PAY-000737,DIST-065,INV-000737,2025-12-21,26014,2026-01-20,2026-01-19,26014,paid
PAY-000642,DIST-057,INV-000642,2025-07-10,76387,2025-08-09,2025-09-11,76387,paid
PAY-001035,DIST-093,INV-001035,2025-04-17,236985,2025-06-01,,0,overdue
PAY-000812,DIST-072,INV-000812,2025-11-05,13192,2025-12-20,2026-01-26,13192,paid
PAY-001027,DIST-092,INV-001027,2025-05-02,178981,2025-06-01,,0,overdue
PAY-000060,DIST-006,INV-000060,2024-08-15,63892,2024-09-14,2024-09-12,63892,paid
PAY-000310,DIST-028,INV-000310,2025-08-23,11767,2025-09-13,2025-09-11,11767,paid
PAY-000625,DIST-055,INV-000625,2026-04-21,146588,2026-05-21,2026-06-08,146588,paid
PAY-001060,DIST-095,INV-001060,2025-10-26,135980,2025-11-25,2025-11-24,135980,paid
PAY-000333,DIST-030,INV-000333,2025-03-26,102067,2025-04-16,2025-04-15,102067,paid
PAY-000354,DIST-032,INV-000354,2025-03-21,331952,2025-04-20,2025-04-19,331952,paid
PAY-000116,DIST-010,INV-000116,2025-10-08,223573,2025-11-07,2025-11-07,223573,paid
PAY-000376,DIST-034,INV-000376,2025-08-13,243080,2025-08-28,2025-08-27,243080,paid
PAY-001120,DIST-100,INV-001120,2025-04-06,25066,2025-05-21,,0,overdue
PAY-000918,DIST-082,INV-000918,2025-01-20,250186,2025-02-04,2025-02-01,250186,paid
PAY-000997,DIST-089,INV-000997,2025-04-16,19961,2025-05-01,2025-05-14,19961,paid
PAY-000093,DIST-008,INV-000093,2025-02-01,213896,2025-02-16,2025-02-13,213896,paid
PAY-000188,DIST-017,INV-000188,2025-07-16,118451,2025-08-30,2025-08-30,118451,paid
PAY-000386,DIST-035,INV-000386,2025-01-09,53355,2025-02-23,2025-02-23,53355,paid
PAY-000790,DIST-070,INV-000790,2025-04-21,98982,2025-06-05,2025-07-06,98982,paid
PAY-000924,DIST-082,INV-000924,2025-07-29,196864,2025-08-13,2025-08-11,196864,paid
PAY-000981,DIST-088,INV-000981,2025-06-14,66791,2025-07-14,2025-08-24,66791,paid
PAY-000908,DIST-081,INV-000908,2025-06-03,72242,2025-07-03,2025-07-14,49541,partial
PAY-000162,DIST-015,INV-000162,2024-08-27,16946,2024-10-11,2024-10-10,16946,paid
PAY-000197,DIST-018,INV-000197,2024-10-08,173642,2024-10-23,2024-10-23,173642,paid
PAY-001223,DIST-111,INV-001223,2025-05-01,102730,2025-06-15,2025-07-09,102730,paid
PAY-001108,DIST-099,INV-001108,2024-12-09,20364,2025-01-23,2025-01-20,20364,paid
PAY-000933,DIST-083,INV-000933,2025-12-19,52651,2026-01-09,2026-01-09,52651,paid
PAY-001098,DIST-098,INV-001098,2026-01-03,160834,2026-01-24,2026-02-09,92573,partial
PAY-000400,DIST-036,INV-000400,2025-11-21,17246,2026-01-05,2026-01-05,17246,paid
PAY-000663,DIST-059,INV-000663,2026-01-06,92481,2026-01-21,2026-02-23,92481,paid
PAY-000102,DIST-009,INV-000102,2024-12-25,152194,2025-01-24,2025-01-24,152194,paid
PAY-000115,DIST-010,INV-000115,2025-09-08,249564,2025-10-08,2025-10-05,249564,paid
PAY-000215,DIST-019,INV-000215,2025-05-19,104507,2025-06-09,2025-06-09,104507,paid
PAY-001257,DIST-117,INV-001257,2025-01-01,60546,2025-01-22,2025-05-09,0,written_off
PAY-000478,DIST-043,INV-000478,2025-08-06,71533,2025-09-20,2025-09-17,71533,paid
PAY-000013,DIST-002,INV-000013,2025-03-20,192869,2025-04-04,2025-04-03,192869,paid
PAY-000772,DIST-068,INV-000772,2024-12-02,107736,2025-01-01,2024-12-29,107736,paid
PAY-000365,DIST-033,INV-000365,2025-04-21,21127,2025-06-05,2025-06-02,21127,paid
PAY-001235,DIST-113,INV-001235,2024-10-22,18433,2024-11-12,2025-03-02,0,written_off
PAY-000189,DIST-017,INV-000189,2025-08-07,51495,2025-09-21,2025-09-21,51495,paid
PAY-000907,DIST-081,INV-000907,2025-05-03,84156,2025-06-02,2025-05-30,84156,paid
PAY-000498,DIST-044,INV-000498,2026-01-30,27271,2026-02-14,2026-02-13,27271,paid
