distributor_id,distributor_name,region,city,channel,credit_limit_inr,credit_terms_days,onboarded_date
DIST-001,Om Brothers,North,Delhi,institution,300000,21,2022-04-03
DIST-002,Modern Traders,North,Chandigarh,institution,750000,15,2024-04-24
DIST-003,Jai Brothers,North,Delhi,modern_trade,200000,15,2024-02-24
DIST-004,Om Brothers,West,Mumbai,general_trade,750000,30,2021-01-14
DIST-005,New Traders,West,Pune,general_trade,200000,21,2025-04-13
DIST-006,Shree Traders,North,Lucknow,modern_trade,300000,30,2024-05-21
DIST-007,Shree Brothers,West,Ahmedabad,modern_trade,500000,15,2024-02-05
DIST-008,Jai Distributors,East,Patna,modern_trade,1000000,15,2021-04-04
DIST-009,New Enterprises,North,Delhi,modern_trade,500000,30,2023-07-18
DIST-010,Sri Suppliers,East,Bhubaneswar,modern_trade,1000000,30,2024-12-08
DIST-011,Modern Distributors,South,Hyderabad,institution,200000,21,2023-08-05
DIST-012,New Agencies,South,Hyderabad,general_trade,100000,21,2021-03-07
DIST-013,Prime Agencies,East,Kolkata,modern_trade,750000,30,2022-03-12
DIST-014,Star Suppliers,West,Mumbai,general_trade,200000,21,2025-03-06
DIST-015,Zero Limit Traders,East,Patna,institution,0,45,2023-01-12
DIST-016,Om Brothers,West,Mumbai,modern_trade,100000,21,2024-07-09
DIST-017,Prime Suppliers,West,Ahmedabad,modern_trade,500000,45,2024-05-05
DIST-018,Star Distributors,East,Patna,modern_trade,1000000,15,2024-10-28
DIST-019,Ravi Brothers,East,Kolkata,general_trade,500000,21,2023-07-19
DIST-020,Shree Brothers,East,Patna,modern_trade,750000,15,2024-07-04
DIST-021,New Agencies,South,Chennai,general_trade,200000,15,2024-05-11
DIST-022,Jai Suppliers,North,Delhi,general_trade,300000,21,2021-04-29
DIST-023,Star Enterprises,North,Delhi,institution,500000,15,2025-04-07
DIST-024,Star Suppliers,South,Hyderabad,general_trade,750000,21,2022-06-27
DIST-025,Shree Agencies,West,Mumbai,institution,1000000,21,2024-12-31
DIST-026,Jai Traders,East,Bhubaneswar,institution,500000,15,2022-05-23
DIST-027,Jai Traders,East,Kolkata,institution,750000,21,2024-04-20
DIST-028,Ravi Distributors,North,Chandigarh,institution,100000,21,2021-05-19
DIST-029,Star Enterprises,North,Chandigarh,modern_trade,300000,45,2022-03-15
DIST-030,Sri Brothers,West,Mumbai,general_trade,500000,21,2021-07-13
DIST-031,Ravi Brothers,West,Pune,general_trade,500000,45,2025-02-02
DIST-032,Jai Enterprises,North,Delhi,general_trade,1000000,30,2021-08-12
DIST-033,Shree Agencies,South,Hyderabad,general_trade,200000,45,2022-01-11
DIST-034,Star Traders,South,Chennai,general_trade,750000,15,2021-04-14
DIST-035,Jai Agencies,North,Delhi,modern_trade,500000,45,2023-09-13
DIST-036,Prime Distributors,North,Delhi,general_trade,100000,45,2022-06-28
DIST-037,Jai Distributors,West,Ahmedabad,institution,750000,45,2021-11-14
