order_id,distributor_id,order_date,order_value_inr,order_status
ORD-00001,DIST-001,2026-01-11,25000,delivered
ORD-00002,DIST-001,2026-04-20,150000,cancelled
ORD-00003,DIST-001,2024-07-12,50000,delivered
ORD-00004,DIST-001,2025-09-25,100000,delivered
ORD-00005,DIST-001,2025-03-12,150000,delivered
ORD-00006,DIST-001,2025-08-21,100000,delivered
ORD-00007,DIST-001,2024-09-02,100000,delivered
ORD-00008,DIST-001,2025-05-08,25000,delivered
ORD-00009,DIST-001,2024-11-12,200000,delivered
ORD-00010,DIST-001,2025-10-21,100000,delivered
ORD-00011,DIST-001,2025-12-16,25000,delivered
ORD-00012,DIST-001,2025-04-19,25000,delivered
ORD-00013,DIST-001,2025-07-19,300000,cancelled
ORD-00014,DIST-001,2024-06-02,150000,delivered
ORD-00015,DIST-001,2025-09-17,50000,delivered
ORD-00016,DIST-001,2025-11-13,300000,delivered
ORD-00017,DIST-001,2025-10-24,300000,delivered
ORD-00018,DIST-001,2024-07-23,150000,delivered
ORD-00019,DIST-001,2024-10-13,100000,pending
ORD-00020,DIST-001,2026-05-17,25000,delivered
ORD-00021,DIST-001,2026-03-08,50000,delivered
ORD-00022,DIST-001,2026-05-28,150000,delivered
ORD-00023,DIST-001,2024-06-15,25000,delivered
ORD-00024,DIST-001,2025-01-17,25000,pending
ORD-00025,DIST-001,2025-09-16,200000,pending
ORD-00026,DIST-002,2025-10-24,75000,pending
ORD-00027,DIST-002,2025-11-04,100000,delivered
ORD-00028,DIST-002,2025-10-08,50000,pending
ORD-00029,DIST-002,2025-09-11,100000,delivered
ORD-00030,DIST-002,2024-12-13,150000,pending
ORD-00031,DIST-002,2024-10-18,75000,cancelled
ORD-00032,DIST-002,2025-07-30,300000,delivered
ORD-00033,DIST-002,2025-11-02,25000,delivered
ORD-00034,DIST-003,2025-04-02,150000,cancelled
ORD-00035,DIST-003,2026-04-07,50000,delivered
ORD-00036,DIST-003,2025-09-01,75000,delivered
ORD-00037,DIST-003,2025-05-07,150000,delivered
ORD-00038,DIST-003,2025-06-22,75000,delivered
ORD-00039,DIST-003,2024-12-11,50000,pending
ORD-00040,DIST-003,2026-01-07,300000,delivered
ORD-00041,DIST-003,2025-07-26,200000,delivered
ORD-00042,DIST-003,2025-09-28,300000,delivered
ORD-00043,DIST-003,2025-06-26,200000,delivered
ORD-00044,DIST-003,2026-03-30,100000,pending
ORD-00045,DIST-003,2024-07-08,150000,delivered
ORD-00046,DIST-003,2025-05-06,300000,cancelled
ORD-00047,DIST-004,2024-09-11,100000,delivered
ORD-00048,DIST-004,2024-06-16,100000,delivered
ORD-00049,DIST-004,2026-04-02,25000,pending
ORD-00050,DIST-004,2025-09-24,75000,delivered
ORD-00051,DIST-004,2025-05-13,100000,delivered
ORD-00052,DIST-004,2026-03-28,75000,delivered
ORD-00053,DIST-004,2026-04-22,100000,cancelled
ORD-00054,DIST-004,2025-04-21,300000,delivered
ORD-00055,DIST-004,2025-10-13,25000,cancelled
ORD-00056,DIST-004,2026-02-23,200000,delivered
ORD-00057,DIST-004,2026-05-02,50000,pending
ORD-00058,DIST-004,2024-09-01,25000,delivered
ORD-00059,DIST-004,2026-03-11,25000,delivered
ORD-00060,DIST-004,2025-08-29,75000,delivered
ORD-00061,DIST-004,2024-06-30,300000,delivered
ORD-00062,DIST-004,2024-07-28,75000,delivered
ORD-00063,DIST-004,2025-08-16,150000,delivered
ORD-00064,DIST-004,2025-07-27,300000,delivered
ORD-00065,DIST-005,2024-11-22,150000,delivered
ORD-00066,DIST-005,2025-06-27,50000,delivered
ORD-00067,DIST-005,2025-10-23,50000,pending
ORD-00068,DIST-005,2025-01-24,75000,delivered
ORD-00069,DIST-005,2025-09-14,25000,delivered
ORD-00070,DIST-005,2025-09-20,200000,pending
ORD-00071,DIST-005,2025-12-12,100000,delivered
ORD-00072,DIST-005,2025-05-20,75000,pending
ORD-00073,DIST-005,2026-03-17,200000,pending
ORD-00074,DIST-006,2025-09-11,50000,cancelled
ORD-00075,DIST-006,2025-06-29,25000,cancelled
ORD-00076,DIST-006,2025-01-29,75000,delivered
ORD-00077,DIST-006,2026-01-10,200000,delivered
ORD-00078,DIST-006,2025-03-30,300000,delivered
ORD-00079,DIST-006,2026-04-06,25000,delivered
ORD-00080,DIST-006,2026-01-01,300000,cancelled
ORD-00081,DIST-006,2024-07-21,200000,pending
ORD-00082,DIST-006,2025-10-22,75000,cancelled
ORD-00083,DIST-006,2025-01-22,75000,delivered
ORD-00084,DIST-006,2025-01-11,150000,delivered
ORD-00085,DIST-006,2025-02-12,200000,delivered
ORD-00086,DIST-007,2026-04-29,200000,cancelled
ORD-00087,DIST-007,2024-09-08,200000,pending
ORD-00088,DIST-007,2024-07-11,100000,delivered
ORD-00089,DIST-007,2024-07-05,200000,delivered
ORD-00090,DIST-007,2024-10-13,,delivered
ORD-00091,DIST-007,2025-05-01,50000,delivered
ORD-00092,DIST-007,2024-12-23,150000,delivered
ORD-00093,DIST-007,2025-06-10,75000,delivered
ORD-00094,DIST-007,2024-11-16,300000,delivered
ORD-00095,DIST-007,2025-10-07,75000,pending
ORD-00096,DIST-007,2025-05-13,100000,cancelled
ORD-00097,DIST-007,2024-08-17,50000,delivered
ORD-00098,DIST-007,2026-04-24,100000,delivered
ORD-00099,DIST-007,2025-12-23,300000,delivered
ORD-00100,DIST-007,2025-07-10,150000,delivered
ORD-00101,DIST-007,2024-10-05,200000,delivered
ORD-00102,DIST-007,2026-04-20,100000,delivered
ORD-00103,DIST-007,2026-03-16,25000,pending
ORD-00104,DIST-007,2026-04-23,25000,delivered
ORD-00105,DIST-007,2026-02-25,150000,cancelled
ORD-00106,DIST-007,2025-05-02,50000,pending
ORD-00107,DIST-007,2026-03-26,300000,delivered
ORD-00108,DIST-007,2025-09-19,75000,pending
ORD-00109,DIST-007,2026-03-27,50000,delivered
ORD-00110,DIST-007,2024-07-17,75000,pending
ORD-00111,DIST-008,2024-09-27,150000,delivered
ORD-00112,DIST-008,2024-10-17,75000,delivered
ORD-00113,DIST-008,2026-04-18,200000,pending
ORD-00114,DIST-008,2025-12-06,200000,delivered
ORD-00115,DIST-008,2024-11-06,200000,cancelled
ORD-00116,DIST-008,2024-09-10,150000,cancelled
ORD-00117,DIST-008,2025-07-23,75000,pending
ORD-00118,DIST-008,2024-07-04,50000,delivered
ORD-00119,DIST-008,2025-08-29,50000,delivered
ORD-00120,DIST-008,2025-06-07,200000,delivered
ORD-00121,DIST-008,2025-06-12,200000,delivered
ORD-00122,DIST-008,2025-06-03,75000,delivered
ORD-00123,DIST-008,2024-12-12,300000,pending
ORD-00124,DIST-008,2025-09-09,50000,delivered
ORD-00125,DIST-008,2026-03-20,25000,delivered
ORD-00126,DIST-008,2024-07-22,50000,delivered
ORD-00127,DIST-008,2024-10-07,50000,delivered
ORD-00128,DIST-008,2024-08-10,150000,cancelled
ORD-00129,DIST-008,2024-12-30,300000,delivered
ORD-00130,DIST-009,2025-05-03,300000,delivered
ORD-00131,DIST-009,2026-02-01,300000,delivered
ORD-00132,DIST-009,2024-10-27,150000,pending
ORD-00133,DIST-009,2025-02-12,25000,delivered
ORD-00134,DIST-009,2026-04-08,50000,cancelled
ORD-00135,DIST-009,2024-06-16,300000,delivered
ORD-00136,DIST-009,2025-01-30,25000,delivered
ORD-00137,DIST-009,2024-11-26,50000,delivered
ORD-00138,DIST-009,2025-08-06,200000,delivered
ORD-00139,DIST-009,2024-08-05,300000,delivered
ORD-00140,DIST-009,2025-06-06,25000,delivered
ORD-00141,DIST-010,2025-10-29,150000,delivered
ORD-00142,DIST-010,2024-07-15,300000,delivered
ORD-00143,DIST-010,2026-04-06,100000,delivered
ORD-00144,DIST-010,2026-03-21,25000,pending
ORD-00145,DIST-010,2025-10-04,100000,cancelled
ORD-00146,DIST-010,2026-05-04,200000,delivered
ORD-00147,DIST-010,2025-08-29,25000,delivered
ORD-00148,DIST-010,2025-04-26,25000,delivered
ORD-00149,DIST-010,2024-10-08,200000,delivered
ORD-00150,DIST-010,2026-01-21,75000,delivered
ORD-00151,DIST-010,2025-06-26,150000,pending
ORD-00152,DIST-010,2025-03-29,150000,delivered
ORD-00153,DIST-010,2025-08-15,200000,delivered
ORD-00154,DIST-010,2024-09-26,200000,cancelled
ORD-00155,DIST-010,2025-12-17,50000,delivered
ORD-00156,DIST-010,2025-08-15,50000,delivered
ORD-00157,DIST-010,2025-07-29,100000,delivered
ORD-00158,DIST-010,2025-07-14,25000,delivered
ORD-00159,DIST-011,2025-08-12,75000,delivered
ORD-00160,DIST-011,2025-06-19,200000,pending
ORD-00161,DIST-011,2025-09-29,300000,delivered
ORD-00162,DIST-011,2024-08-27,25000,delivered
ORD-00163,DIST-011,2025-06-17,150000,cancelled
ORD-00164,DIST-011,2024-08-01,150000,delivered
ORD-00165,DIST-011,2025-12-28,25000,delivered
ORD-00166,DIST-011,2025-07-26,200000,delivered
ORD-00167,DIST-011,2025-08-08,200000,cancelled
ORD-00168,DIST-011,2024-07-23,150000,pending
ORD-00169,DIST-011,2025-04-16,150000,delivered
ORD-00170,DIST-011,2025-11-02,200000,delivered
ORD-00171,DIST-011,2025-10-07,25000,delivered
ORD-00172,DIST-011,2025-05-25,75000,cancelled
ORD-00173,DIST-012,2025-03-13,300000,delivered
ORD-00174,DIST-012,2025-08-14,300000,cancelled
ORD-00175,DIST-012,2026-02-27,200000,delivered
ORD-00176,DIST-012,2025-12-23,200000,delivered
ORD-00177,DIST-012,2026-05-12,50000,delivered
ORD-00178,DIST-012,2025-03-07,75000,delivered
